image_id,dim0,dim1
j8ucb4pF6s210AWzYbWtWDjkHDfEIvqh,3000,3000
QX1b3KBwsnmxGJzmdUwwH0IeQtNlvYAU,3072,3072
kXObj3UtUTmZDgpBy3UdxAi2hef5ODEx,2836,2336
byLdYlU27P9zWLSYefZjEVRYBZPuwIW2,2952,2744
hTBiatGXktRwkGmEKdsLu7QSUYaH8XBa,2880,2304
m1mkU7C9WF4SlMnFfJ2x0cVeiaLjfbel,3170,2642
llXsB94LSKfiFDTmVqQ8qK5dYtQEyJdN,2819,2545
bo9m9fWglG3Bvzrw65zjPXSvHgC98UYN,3408,3320
iescaNGTyx8osxm6vpZK6sVYv7PPjXyP,3408,2597
KpC13OLrTeOekm1KlPt67PbexmBTO7FX,2728,2596
Sygs2nz75mZ5wIe01Io1bztIY8Qm71ZC,2861,2619
DXyiGjT5vHZO3Oq90qiVa5I2gPNzwtAy,3170,2642
apPgK44IsZ5yFN5skQHAapwPDkXdqnBK,3028,2728
Lvh5LHHZvSPb9N6LVXv1Ez8NMf1XlTki,2542,2221
4OPuciU1DBQZJA7kWMFPeCZ58q2bI7w7,2376,2277
mgEKSdyFQdxbzCwAOsceB6idrlQaS3b6,2430,1994
BniHk6j1J42zwQtrdrw6uZdXCXJsOZPF,2739,2462
ZyaXVXMe31nPYUV81ZzE0fe2VAFnhkJu,2430,1994
XlS4OqnTR3Qv1vB4UpulvrmZeWnhOeHt,2430,1994
KwuIkV0VZRd2MSI40UPTgiUyIXjm6q9E,3103,2813
GDL7jtpfIvbUCiU7fcvc29XyX2wxYWCU,3016,2804
a9GI5WGV6ZmNrQcOZSoGo9zJcnkN7nnD,3000,3000
sl0Pa8V8V21klsJblpcvn8NW7F4xyWiy,2500,2048
HXfoZlhrkQiQ8zu4i2QueOQzzgMJDMWK,3072,2540
hxNC19MoeNt2PlnSeGYUusOcc9KdLJOB,2687,2511
GCJZ4xlLZTNfC5pCp48lgyEzQgKbkmRe,2430,1994
fzKli2jWmiRryQF07ar8M5qUO45ZDAuM,2899,2406
B47vOuI9KphRpNrQtUsJUsv4zNKGUBVe,2430,1994
sIztuRNQgIuDKDN1EDtuIQ2mCA4U1X9r,2430,1994
FXX0NQC1EJG6EnjGzqbMz0RnXBNY6lu6,3408,2458
kpi7z7ne6uj6WhLF6ngyz5hr6OqIlFT0,3000,3000
RlsaBnYQFnum2KalxKChC75lsLvbz494,2880,2304
CFDrZOOIasyTbfzeorUZ0RldP5jKpuzj,2300,2151
hLX89DiJ957Eey6jw0Irsis8KH6VrJzJ,3000,2829
i4dARcIp6FDG5pWpi30Sw7yfv6wZZiAG,2469,2500
o3yv5ppFxwZHpyiFEO13kFaonuZrgVf1,3000,2952
WnoufF5RDNvVokqmLNLklO3wbK4ru99Q,3072,2540
BqndHTtP1miTKRvowQLDAlaWZxP5HIfu,2909,2386
jz4uGf2ZaKsquxfkUqENM36nHxse2I1b,3072,3072
v8SK0FcxvKTcTd2DJlzhYSf24dXO6p04,2880,2304
QsTMf4qXZgScUyYMaVKDjVLK79PX23qa,3204,2780
I9AYNjXdVWGaSQYbJ8iaW32xe5T43Y2e,2880,2304
1isEflXRjrElhoYA9WA0BgM69pEXUVsv,3072,3072
tTd1g89aYCTKvcTkVtIPhk2wGbFJl8C7,3072,3072
gC6I3PwOTSMq7OXCZaV3qwg8ZtRapnPj,2880,2304
xHKcrORH2qblFgOPglRFGttP5mFyFsoz,2919,2562
vGlBeqqPz4Y61Z5n83A9zH7gP1fT5TpH,3040,3072
sSnolPcV6EVsttZ1xiluAyp2ZOSuk3hw,2360,2050
bzguExkcCD8VTsQN2VQmtxQl1tN5l7kS,3072,3072
Mq4y0lJJYg5uWsz7gyOY8o0oqxanMA5c,2679,2504
z4Ntzp752EowOKTpuI0BuZvJxYmxCSlH,3340,2664
nzzEBenMbb9J35dMZ9cuHJ3rI10aUB9e,2880,2304
a9LdUToLi849II2fX2HcxdSHuiYo6d4I,3072,3072
bZuYDyT2IW2oLQw7VdkPo2dGdcmtSo8k,3000,3000
5VK7KDVmZQwQGdnIwmBPxfMP1uid8YZt,2430,1994
bI1yTlF1OAbn5zNvxBJFFsNthfx4n4Xm,2430,1994
U0PlLj0yMVCVADsHWFS47b9WXAr6Kc22,2723,2340
xTt10mZsyCEmOk56JILKE7Kxzze4ws21,2500,2048
yGWkBfGdmeKWXXWUoJkEiCHyEQIboUFb,2880,2304
xPifrD1E8QwGgQ09Cdq7w0VmaWdO2feC,2979,2586
ZzygOS8JykNpgzlVS4m8KoGiRgryqjWD,2430,1994
vAvpDBSA10wO28Lj3IEIDDk2sVykXFok,2880,2304
emkbYmPsSyQOtantke5dhtpqOPUWLazV,3072,3072
iFoFY8FtYbg0MWocM1W4nynjG3xfftK7,2836,2336
XOawjfSt9gq4K4gWGpzyaDv1N2U9g8Op,3204,2928
I0LMn48962YamgyGsdNxllJkly2aG71b,2500,2048
kxlkJW0hhgwdej4oRjIl7CivCTomhPQq,3096,2777
uQNoMhRqc5fpn4KK1y9vGrIfvoEyTBJK,2552,2189
otHw3yrAPg5CYHHT89ybPQxO2rRgiLjT,2430,1994
OvuqCZuIdwg4Fe9675tulwYpPUFwxsMO,2880,2304
sGcp8iMILo3juQfDp5HjIH6sXNwpDGVd,2500,2048
ABz76BUTOFrG6yLYeVBSO3vr6KlnULZR,2880,2304
P4JJlkomXHu64ftDefJGpCNihxgjB1s1,2208,2688
OvYWLXAw4xPrByibnJILjVR1ZRBtmTH2,2430,1994
fhl06ECMij8DBpR5KibWztLoLroUVTCB,2430,1994
10yvBqluHX6ejLcluJYMfcmDLvf4Wk3w,3028,2517
2Y4NStH1vTgEKWicVdoNK0Bs5NBb9GEC,2964,2316
0uABY5SWF7de7dEpH7w7TOckk9mTPcuT,2382,2131
ITksZ7gU7TWqQcNtlDIt18izHvXTsAvQ,2430,1994
K7qBYIZRQv4WxsL6KuvxhdwmQmpQBc0L,3032,2520
MphZLcylVqPvjY21zUL0HwpJilQtEHA2,2836,2336
KpIzJ2GMAyrq5f7oYoAG9UFlrB7YZMEC,2836,2336
le7ALwnEmjPoxY4yuxUPzeN6ncxqxdN0,3072,3072
xl5dcwtBwTQiAcdnrnETgHEvCQwj6W9O,2208,2688
r7ssKCGp6Yu0rfMkpySIjN7gFm0DTY84,2828,2655
zSc7KvDPR79jTllJFK8wvQ0PljtmLh55,2880,2304
JAcygNip8gZ7Mgy6RcNeTydW171Fq6o4,2793,2359
W4Lpp057Qrz3TDgOyH6JAi2jeBUmSTAs,3072,2496
Ugr2PGeniTAoj763OATWDsy3UUiaD5NE,2419,2541
O3tEKv3czAo8QQWbm5XkGEf3PVgm31gf,2836,2336
emDNMR5H5pNUXE53GoDAV15fAeUmLGsS,2430,1994
rqc6yA8uAxUUEj6ZT0JnPhBx4p875Z1V,2430,1994
BSvMNZZEfhVwWf45wK3wbcuI09eodz9n,2928,2820
CQXI13UEy9icd4n4s4LSWDrz0NJMG9aN,2341,2206
sZIqoj7A5NTLWpfKchXFPjnJw1yDfcGW,3072,2540
71NnrRAn4MNON8kx7pevSrFKYPmgrMMo,2878,2580
4cEiolS8dKZmCDOZmoOTLaiWz1EOXcZR,2430,1994
dZceHUYuJDvu51DBzqRgDlC0WqS3F2L0,3072,2540
788Cm2snbMiUafw7XptYSyFX66X3ZyxZ,2500,2048
Ii8udIH2Qlq7oz9ivcXofscVodI0txBP,2822,2659
